dataset,standard_basis,standard_no_basis,clearing,compression,update,topologylayer,gudhi,dionysus,ripser
sphere-0.001-20-2,0.0014848988503217697,0.0007964987307786942,0.0007495172321796417,0.0007770471274852753,0.0007646661251783371,0.3414685074239969,0.000473828986287117,0.0016073938459157944,0.001683635637164116
sphere-0.001-20-2,0.001102536916732788,0.0007685646414756775,0.0007708482444286346,0.0007845405489206314,0.0006292946636676788,0.3417395278811455,0.0004125721752643585,0.0015531498938798904,0.0010280739516019821
sphere-0.001-20-2,0.001101544126868248,0.0007438473403453827,0.000773996114730835,0.0007818825542926788,0.0006238725036382675,0.3435491621494293,0.0004142262041568756,0.0015492234379053116,0.0009997915476560593
sphere-0.001-20-2,0.0010934267193078995,0.000748341903090477,0.0007752310484647751,0.0007839687168598175,0.0006235036998987198,0.34289424680173397,0.00041979551315307617,0.00182359479367733,0.0010190289467573166
sphere-0.001-20-2,0.0010857637971639633,0.0007426068186759949,0.0007716324180364609,0.0007801484316587448,0.0006238929927349091,0.3371205981820822,0.00040806829929351807,0.0015533436089754105,0.0010016877204179764
sphere-0.001-20-2,0.001096172258257866,0.0007767397910356522,0.0007940679788589478,0.0010026227682828903,0.000655418261885643,0.33919187635183334,0.0004381481558084488,0.0015777964144945145,0.001051163300871849
sphere-0.001-20-2,0.0010947715491056442,0.000737559050321579,0.0007708370685577393,0.0007827002555131912,0.0006313640624284744,0.33883795514702797,0.0004117172211408615,0.0015552882105112076,0.0010031480342149734
sphere-0.001-20-2,0.00109071284532547,0.0007434971630573273,0.0007758717983961105,0.0007801838219165802,0.0006228648126125336,0.33965820260345936,0.00041509978473186493,0.0015506278723478317,0.0010027363896369934
sphere-0.001-20-2,0.0010931473225355148,0.0007357001304626465,0.0007691457867622375,0.0007818210870027542,0.0006273575127124786,0.3378771711140871,0.0004088766872882843,0.0015544667840003967,0.0010044630616903305
sphere-0.001-20-2,0.0010918863117694855,0.0007445160299539566,0.0007719825953245163,0.0007785279303789139,0.0006225574761629105,0.3383551649749279,0.0004148148000240326,0.001546218991279602,0.0010071247816085815
sphere-0.001-20-2,0.0010874532163143158,0.0007443726062774658,0.0007731467485427856,0.0007785651832818985,0.0006242655217647552,0.33830348029732704,0.00041371025145053864,0.0015487801283597946,0.0010048206895589828
sphere-0.001-20-2,0.001087551936507225,0.0007417071610689163,0.0007730536162853241,0.0007806923240423203,0.0006247181445360184,0.34165309369564056,0.0004087258130311966,0.0015517864376306534,0.0010012183338403702
sphere-0.001-20-2,0.0010964404791593552,0.0007457435131072998,0.0007684249430894852,0.0007878746837377548,0.0006288737058639526,0.3369503114372492,0.0004159267991781235,0.001547517254948616,0.0010085143148899078
sphere-0.001-20-2,0.0010975971817970276,0.0007398109883069992,0.0007723979651927948,0.0007816478610038757,0.0006292108446359634,0.3377781771123409,0.00040811672806739807,0.0015791356563568115,0.0010112766176462173
sphere-0.001-20-2,0.0010921265929937363,0.0007832478731870651,0.0007745642215013504,0.0007865112274885178,0.0006220284849405289,0.33862396888434887,0.0004110410809516907,0.0015611723065376282,0.0009995531290769577
sphere-0.001-20-2,0.0011020172387361526,0.000738067552447319,0.0007723849266767502,0.0007812120020389557,0.0006304830312728882,0.3354715686291456,0.0004080049693584442,0.0015507880598306656,0.0010025613009929657
sphere-0.001-20-2,0.0010970588773488998,0.000745140016078949,0.000766390934586525,0.0007764194160699844,0.0006276555359363556,0.3364870324730873,0.0004093032330274582,0.0015492886304855347,0.0010093152523040771
sphere-0.001-20-2,0.0010938122868537903,0.0007470361888408661,0.0007740706205368042,0.0007814392447471619,0.0006237644702196121,0.33831837587058544,0.00041509605944156647,0.0015483610332012177,0.0010012853890657425
sphere-0.001-20-2,0.001093640923500061,0.0007780361920595169,0.0007720198482275009,0.0007845442742109299,0.0006232224404811859,0.33740879595279694,0.00041309744119644165,0.0015552528202533722,0.0010089520364999771
sphere-0.001-20-2,0.0010942481458187103,0.0007745493203401566,0.0007749628275632858,0.0007822774350643158,0.0006283242255449295,0.3369744475930929,0.0004096236079931259,0.0015564579516649246,0.001003483310341835
sphere-0.001-20-3,0.004100818186998367,0.0028513167053461075,0.0026593320071697235,0.0027628112584352493,0.002124328166246414,0,0.001543516293168068,0.005913084372878075,0.00260244682431221
sphere-0.001-20-3,0.004092156887054443,0.0028476975858211517,0.002575518563389778,0.0027660317718982697,0.002127949148416519,0,0.0015417728573083878,0.005887860432267189,0.0026025716215372086
sphere-0.001-20-3,0.004100887104868889,0.0028559863567352295,0.0026566553860902786,0.002755379304289818,0.0021297838538885117,0,0.001536516472697258,0.005880551412701607,0.002588501200079918
sphere-0.001-20-3,0.0040877629071474075,0.002853158861398697,0.002656068652868271,0.0027600061148405075,0.0021223705261945724,0,0.0015392191708087921,0.005887486040592194,0.0025959815829992294
sphere-0.001-20-3,0.004082284867763519,0.002848902717232704,0.0026562511920928955,0.0027569830417633057,0.002127900719642639,0,0.0015404727309942245,0.005875507369637489,0.0025908183306455612
sphere-0.001-20-3,0.004083817824721336,0.0028472449630498886,0.0026626717299222946,0.0027557089924812317,0.002125656232237816,0,0.0015419237315654755,0.005880976095795631,0.002598818391561508
sphere-0.001-20-3,0.004083229228854179,0.0028506405651569366,0.0025657005608081818,0.002760356292128563,0.002128247171640396,0,0.0015384815633296967,0.005878398194909096,0.002596857026219368
sphere-0.001-20-3,0.004085183143615723,0.0028498750180006027,0.002572307363152504,0.0027607511729002,0.0021281130611896515,0,0.001544807106256485,0.00586879625916481,0.0025895237922668457
sphere-0.001-20-3,0.004097906872630119,0.0028584077954292297,0.0025737155228853226,0.002758009359240532,0.0021216273307800293,0,0.0015374906361103058,0.00587652251124382,0.002590574324131012
sphere-0.001-20-3,0.004086360335350037,0.0028565041720867157,0.00256439670920372,0.002763696014881134,0.0021234285086393356,0,0.0015331506729125977,0.005873300135135651,0.0026003681123256683
sphere-0.001-20-3,0.00407826341688633,0.002845505252480507,0.002663644030690193,0.0027586594223976135,0.0021191760897636414,0,0.0015431065112352371,0.005873711779713631,0.002591913565993309
sphere-0.001-20-3,0.004087204113602638,0.002855556085705757,0.002676747739315033,0.002767164260149002,0.0021288059651851654,0,0.001540565863251686,0.005877040326595306,0.002597220242023468
sphere-0.001-20-3,0.0040884073823690414,0.0028524361550807953,0.002661844715476036,0.0027669407427310944,0.0021261945366859436,0,0.0015321876853704453,0.005879368633031845,0.002589939162135124
sphere-0.001-20-3,0.004084169864654541,0.002852216362953186,0.0026585329324007034,0.002767028287053108,0.0021217893809080124,0,0.0015373993664979935,0.005895679816603661,0.0025939997285604477
sphere-0.001-20-3,0.004092065617442131,0.0028427522629499435,0.0025743376463651657,0.002770371735095978,0.0021291859447956085,0,0.0015476103872060776,0.005884479731321335,0.002596544101834297
sphere-0.001-20-3,0.0040946174412965775,0.0028682947158813477,0.00255691260099411,0.0027649812400341034,0.0021209120750427246,0,0.0015407968312501907,0.005880359560251236,0.0025954097509384155
sphere-0.001-20-3,0.0040803514420986176,0.002848651260137558,0.0026574041694402695,0.002756299450993538,0.002122165635228157,0,0.0015457011759281158,0.005877295508980751,0.00258759967982769
sphere-0.001-20-3,0.004087597131729126,0.0028492677956819534,0.002653118222951889,0.002903314307332039,0.002122156322002411,0,0.001541726291179657,0.005894573405385017,0.002602899447083473
sphere-0.001-20-3,0.004089677706360817,0.002857346087694168,0.0025665294378995895,0.0027704834938049316,0.0021237190812826157,0,0.0015331394970417023,0.0058626439422369,0.002588259056210518
sphere-0.001-20-3,0.004076836630702019,0.0028532948344945908,0.0025663021951913834,0.0027581676840782166,0.002122972160577774,0,0.00154079869389534,0.005873586982488632,0.002596447244286537
sphere-0.001-50-2,0.0302338395267725,0.016086520627141,0.015988489612936974,0.015360906720161438,0.012944431975483894,0,0.004921611398458481,0.05106741562485695,0.013236964121460915
sphere-0.001-50-2,0.028683261945843697,0.016122588887810707,0.016024664044380188,0.015425251796841621,0.012448705732822418,0,0.004931502044200897,0.05092431604862213,0.013228224590420723
sphere-0.001-50-2,0.028760619461536407,0.016104932874441147,0.016180677339434624,0.015387387946248055,0.0104790348559618,0,0.004907757043838501,0.05097825825214386,0.013265911489725113
sphere-0.001-50-2,0.02862834744155407,0.01612032949924469,0.016008399426937103,0.015357047319412231,0.010500669479370117,0,0.0049162693321704865,0.05099561996757984,0.013213664293289185
sphere-0.001-50-2,0.02867026813328266,0.016085287556052208,0.016016116365790367,0.015394410118460655,0.010478498414158821,0,0.004910089075565338,0.051052870228886604,0.01326390728354454
sphere-0.001-50-2,0.02859637327492237,0.016119515523314476,0.01598339155316353,0.01536473073065281,0.010451013222336769,0,0.004916420206427574,0.05121208541095257,0.013254189863801003
sphere-0.001-50-2,0.02865786850452423,0.016072584316134453,0.015988582745194435,0.015368521213531494,0.010492127388715744,0,0.004915749654173851,0.051151469349861145,0.013261202722787857
sphere-0.001-50-2,0.028674868866801262,0.016086753457784653,0.016027186065912247,0.015398528426885605,0.010464528575539589,0,0.004929458722472191,0.05109037458896637,0.01321951113641262
